2025-09-18 17:35:20 | INFO | message={'message': 'I just tried a meme! It was exciting.', 'author': 'Eve', 'timestamp': '2025-09-18 17:26:57', 'category': 'humor', 'sentiment': 0.35, 'keyword_mentioned': 'meme', 'message_length': 37}
2025-09-18 17:35:20 | INFO | db_path=WindowsPath('C:/Users/admin/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/buzz.sqlite')
2025-09-18 17:35:20 | INFO | Inserted one message into the database.
2025-09-18 17:35:20 | INFO | Calling SQLite insert_message() with:
2025-09-18 17:35:20 | INFO | message={'message': 'I just saw an app! It was weird.', 'author': 'Charlie', 'timestamp': '2025-09-18 17:27:02', 'category': 'other', 'sentiment': 0.71, 'keyword_mentioned': 'other', 'message_length': 32}
2025-09-18 17:35:20 | INFO | db_path=WindowsPath('C:/Users/admin/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/buzz.sqlite')
2025-09-18 17:35:20 | INFO | Inserted one message into the database.
2025-09-18 17:35:27 | INFO | Logging to file: logs/project_log.log
2025-09-18 17:35:27 | INFO | Log sanitization enabled, personal info removed
2025-09-18 17:35:27 | INFO | Starting Producer to run continuously.
2025-09-18 17:35:27 | INFO | Use Ctrl+C to stop.
2025-09-18 17:35:27 | INFO | MESSAGE_INTERVAL_SECONDS: 5
2025-09-18 17:35:27 | INFO | BUZZ_TOPIC: buzzline_v2
2025-09-18 17:35:27 | INFO | KAFKA_BROKER_ADDRESS: 172.21.223.52:9092
2025-09-18 17:35:27 | INFO | BASE_DATA_DIR: ~/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data
2025-09-18 17:35:27 | INFO | LIVE_DATA_PATH: ~/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/project_live.json
2025-09-18 17:35:27 | INFO | BASE_DATA_DIR: ~/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data
2025-09-18 17:35:27 | INFO | SQLITE_PATH: ~/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/buzz.sqlite
2025-09-18 17:35:27 | INFO | Deleted existing live data file.
2025-09-18 17:35:27 | INFO | KAFKA_BROKER_ADDRESS: 172.21.223.52:9092
2025-09-18 17:35:27 | INFO | Kafka broker address: 172.21.223.52:9092
2025-09-18 17:35:27 | INFO | Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 0, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'fCKkC1fvT7e0yHJQ3TZReQ', 'controller_id': 0}
2025-09-18 17:35:27 | INFO | Kafka producer connected to 172.21.223.52:9092
2025-09-18 17:35:27 | INFO | KAFKA_BROKER_ADDRESS: 172.21.223.52:9092
2025-09-18 17:35:27 | INFO | Kafka broker address: 172.21.223.52:9092
2025-09-18 17:35:27 | INFO | Topic 'buzzline_v2' already exists. Recreating fresh...
2025-09-18 17:35:27 | INFO | Requested deletion of topic 'buzzline_v2'.
2025-09-18 17:35:27 | ERROR | Error managing topic 'buzzline_v2': [Error 36] TopicAlreadyExistsError: Request 'CreateTopicsRequest_v3(create_topic_requests=[(topic='buzzline_v2', num_partitions=1, replication_factor=1, replica_assignment=[], configs=[])], timeout=30000, validate_only=False)' failed with response 'CreateTopicsResponse_v3(throttle_time_ms=0, topic_errors=[(topic='buzzline_v2', error_code=36, error_message="Topic 'buzzline_v2' is marked for deletion.")])'.
2025-09-18 17:35:39 | WARNING | Consumer interrupted by user.
2025-09-18 17:35:39 | INFO | Kafka consumer closed.
2025-09-18 17:35:39 | INFO | Consumer shutting down.
2025-09-18 17:35:43 | INFO | Logging to file: logs/project_log.log
2025-09-18 17:35:43 | INFO | Log sanitization enabled, personal info removed
2025-09-18 17:35:43 | INFO | Starting Producer to run continuously.
2025-09-18 17:35:43 | INFO | Use Ctrl+C to stop.
